TRDAR_CD,TRDAR_CD_NM,ADSTRD_CD,ADSTRD_CD_NM,SIGNGU_CD,SIGNGU_CD_NM
12350,종로_C,11110710,숭인2동,11110,종로구
12351,방화동로_B,11500630,방화1동,11500,강서구
12352,답십리로_B,11230660,장안2동,11230,동대문구
12354,양천로_B,11500630,방화1동,11500,강서구
12355,면목로_K,11260540,면목4동,11260,중랑구
12356,양천로_C,11500630,방화1동,11500,강서구
12357,숭인동길,11110710,숭인2동,11110,종로구
12358,월드컵북로44길_A,11440740,상암동,11440,마포구
12359,전농로15길,11230560,전농1동,11230,동대문구
12361,금낭화로_D,11500630,방화1동,11500,강서구
12363,사가정로_D,11230570,전농2동,11230,동대문구
12364,증가로_A,11410700,남가좌2동,11410,서대문구
12366,자하문로7길,11110515,청운효자동,11110,종로구
12368,월드컵북로44길_B,11440740,상암동,11440,마포구
12369,사가정로50길,11260570,면목7동,11260,중랑구
12370,고산자로31길,11230536,용신동,11230,동대문구
12371,월드컵북로_B,11440740,상암동,11440,마포구
12372,매봉산로2길,11440740,상암동,11440,마포구
12373,전농로17길,11230560,전농1동,11230,동대문구
12374,한천로_C,11230660,장안2동,11230,동대문구
12375,한천로33길,11230660,장안2동,11230,동대문구
12376,증가로_B,11410700,남가좌2동,11410,서대문구
12377,전농로_A,11230570,전농2동,11230,동대문구
12378,면목로39길,11260570,면목7동,11260,중랑구
12379,대학로,11110640,이화동,11110,종로구
12381,천호대로_A,11200790,용답동,11200,성동구
12382,한천로_D,11230610,답십리2동,11230,동대문구
12383,면목로_L,11215760,중곡3동,11215,광진구
12384,왕십리로_A,11200535,왕십리도선동,11200,성동구
12385,다산로_A,11140615,신당동,11140,중구
12387,다산로_B,11140615,신당동,11140,중구
12388,양천로_D,11500535,등촌3동,11500,강서구
12389,성산로,11410585,신촌동,11410,서대문구
12390,다산로36길,11140665,동화동,11140,중구
12391,긴고랑로_A,11215740,중곡1동,11215,광진구
12393,용답중앙15길,11200790,용답동,11200,성동구
12394,공항대로_A,11500620,공항동,11500,강서구
12395,천호대로87길,11230650,장안1동,11230,동대문구
12396,왕십리로_B,11200520,왕십리2동,11200,성동구
12397,방화동로_C,11500640,방화2동,11500,강서구
12398,장한로_B,11230650,장안1동,11230,동대문구
12399,퇴계로87길_A,11140670,황학동,11140,중구
12400,다산로35길,11140615,신당동,11140,중구
12401,퇴계로86길,11140665,동화동,11140,중구
12403,퇴계로83길,11140670,황학동,11140,중구
12404,아리수로93길,11740515,강일동,11740,강동구
12405,퇴계로88길,11140650,신당5동,11140,중구
12407,퇴계로_A,11140615,신당동,11140,중구
12408,천호대로_B,11200790,용답동,11200,성동구
12409,용답19길,11200790,용답동,11200,성동구
12410,충정로,11410565,충현동,11410,서대문구
12411,월드컵로_A,11440730,성산2동,11440,마포구
12412,능동로_A,11215740,중곡1동,11215,광진구
12414,퇴계로_B,11140590,광희동,11140,중구
12415,퇴계로_C,11140670,황학동,11140,중구
12416,양천로57길,11500604,가양2동,11500,강서구
12417,면목로_M,11215740,중곡1동,11215,광진구
12418,무학로6길,11200535,왕십리도선동,11200,성동구
12419,퇴계로87길_B,11140670,황학동,11140,중구
12420,천호대로_C,11200790,용답동,11200,성동구
12421,동교로,11440710,연남동,11440,마포구
12422,능동로_B,11215750,중곡2동,11215,광진구
12423,월드컵북로6길_A,11440710,연남동,11440,마포구
12424,마장로,11200540,마장동,11200,성동구
12425,용마산로_D,11215770,중곡4동,11215,광진구
12426,고산자로_B,11200535,왕십리도선동,11200,성동구
12427,무학로_B,11200535,왕십리도선동,11200,성동구
12428,장한로_C,11230650,장안1동,11230,동대문구
12429,월드컵로36길,11440730,성산2동,11440,마포구
12430,천호대로_D,11230600,답십리1동,11230,동대문구
12434,난계로17길,11140670,황학동,11140,중구
12435,연희맛로_A,11410615,연희동,11410,서대문구
12436,청계천로12가길,11200540,마장동,11200,성동구
12437,마장로9길,11140670,황학동,11140,중구
12438,방화동로_D,11500640,방화2동,11500,강서구
12439,연희로_A,11410615,연희동,11410,서대문구
12440,수색로_B,11410690,남가좌1동,11410,서대문구
12441,마장로31길,11200540,마장동,11200,성동구
12442,방화동로_E,11500630,방화1동,11500,강서구
12443,연희맛로_B,11410615,연희동,11410,서대문구
12444,전농로_B,11230600,답십리1동,11230,동대문구
12446,청계천로,11110710,숭인2동,11110,종로구
12447,연희로_B,11410615,연희동,11410,서대문구
12448,방화동로_F,11500640,방화2동,11500,강서구
12449,방화동로_G,11500620,공항동,11500,강서구
12450,수색로_C,11410690,남가좌1동,11410,서대문구
12451,장한로24길,11230660,장안2동,11230,동대문구
12452,양천로_E,11500603,가양1동,11500,강서구
12453,연희로_C,11410615,연희동,11410,서대문구
12454,고산자로24길,11200540,마장동,11200,성동구
12455,통일로_K,11410520,천연동,11410,서대문구
12457,통일로_L,11410520,천연동,11410,서대문구
12458,마장로5길,11140670,황학동,11140,중구
12459,고산길,11440600,대흥동,11440,마포구
12460,퇴계로12길,11140540,회현동,11140,중구
12461,천호대로_E,11215750,중곡2동,11215,광진구
12462,월드컵로_B,11440660,서교동,11440,마포구
12463,영화사로_A,11215770,중곡4동,11215,광진구
12464,신촌로_A,11440600,대흥동,11440,마포구
12465,용마산로_E,11215750,중곡2동,11215,광진구
